aax	[1,1,[Molnupiravir,"",1]]
enjoyed	[34,41,[A.E._Housman,"",1],[Arendt,"",1],[Beliefs_and_practices_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints,"",1],[Bikini,"",1],[Billy_Powell,m,1],[Comoro_Islands,"",1],[Concino_Concini,m,1],[Drums_and_Wires,m,1],[Elise_Mertens,m,1],[Exclave,m,2],[First_Vienna_Award,m,1],[History_of_Champagne,"",1],[Huckleberry_Finn,m,1],[Hudson's_Bay_Company,"",1],[Irredentism,m,1],[Joseph_Stalin,"",5],[Jupiter_(mythology),"",1],[Kashubian_language,m,1],[Monterey_Grand_Prix,m,1],[Morgan_le_Fay,m,1],[Muhammad_Mustafa_Mero,m,1],[Nationalism,"",1],[Oscar_Pistorius,m,1],[Philanthropy,"",1],[Royal_prerogative_in_the_United_Kingdom,m,1],[Satsuma_Rebellion,m,1],[Silvaner,"",1],["South_Shore,_Chicago","",1],[The_Mickey_Mouse_Club,"",1],[Tipperary_Senior_Football_Championship,m,1],[USS_America_(CV-66),m,1],[Vedic_period,"",2],[Video_disk,"",1],[Wayne_Rooney,"",2]]
enon	[1,1,["Chesterfield,_Virginia","",1]]
entomology	[2,2,[Eket_people,"",1],[Tardigrade,m,1]]
eos	[4,7,[Canon_PowerShot,"",3],[Global_climate_change,"",2],[Radiative_forcing,"",1],[Rosmarinic_acid,"",1]]
epicgenius	[1,1,["User:Another_Believer",m,1]]
epiphany	[4,4,[Archduchy_of_Austria,"",1],[Prince_(musician),"",1],[Ship_of_Fools_(painting),"",1],[Sol_Invictus,"",1]]
epstein's	[1,26,["Little_Saint_James,_U.S._Virgin_Islands","",26]]
ergebnis	[1,1,[Chaos_Computer_Club,"",1]]
ergilornithidae	[1,1,[Gruiformes,m,1]]
erowid	[1,2,[LD50,"",2]]
escalators	[1,6,[Lubyanka_(Moscow_Metro),m,6]]
escarpada	[1,1,[Inexpressible_Island,"",1]]
esop	[1,1,[Eket_people,"",1]]
eurythmy	[1,1,[GLS_Bank,"",1]]
evaluations	[4,5,[Bakelite,m,1],[Hikikomori,"",1],[Stradivarius,"",2],[Woodcock%E2%80%93Johnson_Tests_of_Cognitive_Abilities,"",1]]
evenki	[2,2,[Cuneiform,"",1],[Odia_script,"",1]]
everett's	[1,1,[Girl_(Beatles_song),"",1]]
excerpt	[24,44,[Africa,"",9],[American_propaganda_during_World_War_II,"",2],[Animal_Farm_(1954_film),"",1],[Arendt,"",3],[Beliefs_and_practices_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints,"",2],[Booker_T._Washington,"",2],[Borat,"",2],[Cat_Stevens'_comments_about_Salman_Rushdie,"",1],[Computer_(job_description),"",1],[Edwin_Eugene_Bagley,"",1],[Erich_Ludendorff,m,1],[Fragarach,"",1],[Georgism,"",1],[Irredentism,m,1],[Joseph_Stalin,"",1],["Manhattan,_New_York","",3],[Nationalism,"",1],[Open_score,m,2],[Philanthropy,"",1],[R._Stevie_Moore,"",1],[Roger_Grenier,m,2],[Seljuks,m,1],["The_Answer_to_Life,_the_Universe,_and_Everything","",3],[Ultralight_aviation,"",1]]
exoplanets	[1,10,[Retrograde_motion,"",10]]
exposed	[45,65,[1700_Cascadia_earthquake,"",1],[2017_NFL_season,"",1],[Bikini,"",2],[Biopolymer,m,2],[Borat,"",1],[Bryna_Productions,m,1],[Busan,m,1],[Carburettor,m,1],[Category_5_cable,"",2],[Classism,"",1],[Donald_Ewen_Cameron,"",1],[Edmund_Randolph,"",1],[El_Nina,"",1],[Encoding_%28memory%29,"",2],[Erich_Ludendorff,m,1],[Filter_bubble,"",4],[Fodera,"",1],[Foot_whipping,"",1],[Gamla_stan,m,1],[Hatch_Act_of_1939,"",1],[Helicopter,m,1],[Joseph_Stalin,"",1],[Koala,"",1],[LD50,"",1],[Laminated_glass,"",1],[Louis_Daguerre,"",4],[Lubyanka_(Moscow_Metro),m,1],[Macedonia_naming_dispute,"",1],[Model_railroading,m,1],[Natural_News,"",1],[Natural_experiment,"",1],[Optimism_bias,"",1],[Palsa,m,1],[Peak_District,"",1],[Physiologically-based_pharmacokinetic_modelling,"",6],[Primates,"",1],[Psychoneuroimmunology,"",1],[Radiative_forcing,"",1],[Saint_George,m,1],[Site_of_Special_Scientific_Interest,"",1],[TX_Watch_Company,m,1],[Tardigrade,m,5],[Thermostat,m,2],[Victor_Babe%C8%99,"",1],[Woodcock%E2%80%93Johnson_Tests_of_Cognitive_Abilities,"",1]]
expreszo	[1,2,[COC_Nederland,"",2]]
exstiterit	[1,1,[A.E._Housman,"",1]]
extracting	[8,9,[Africa,"",2],[BaileyBorweinPlouffe_formula,"",1],[Donald_Ewen_Cameron,"",1],[Extraction_of_petroleum,"",1],[Global_climate_change,"",1],[Insurrection,m,1],[Secure_boot,"",1],["The_Answer_to_Life,_the_Universe,_and_Everything","",1]]
fahrenheit	[3,4,[Carburettor,m,1],[I_Shouldn%27t_Be_Alive,m,2],[Wet-bulb_globe_temperature,"",1]]
fairhead	[1,1,[Afar_people,m,1]]
fanfanii	[1,1,[Italian_Minister_of_Public_Works,m,1]]
fantan	[1,1,[Garni,"",1]]
fasano	[1,1,[Entropy,"",1]]
fat	[26,35,[American_propaganda_during_World_War_II,"",2],[Big_Bad_Wolf,m,2],[Bikini,"",1],["Category:2000_Australian_television_series_debuts",m,1],[Cereal_grain,"",1],[Complex_(magazine),"",1],[Eugene_Fama,"",1],[Free-electron_laser,"",3],[Help!_(album),"",1],[Informational_cascade,"",1],[International_Women's_Day,"",2],[Jack_Norris_(activist),"",1],[Karl_Blossfeldt,"",1],[Koala,"",1],[List_of_streets_and_roads_in_Hong_Kong,"",1],[Mardi_Gras_Indians,"",1],[Monoglyceride,m,3],[Nuremburg_Trials,"",1],[Odessa,m,1],[Okapi,"",1],[Primates,"",1],[Sauerkraut,"",1],[Sea_cucumber,m,1],[South_Park,"",2],[Sportsman%27s_Park,m,1],[Wheat_germ,"",2]]
façade	[9,17,[Bryna_Productions,m,1],[Buckingham_Palace,m,9],[Gamla_stan,m,1],[Hikikomori,"",1],[Luis_A._Ferr%C3%A9_Performing_Arts_Center,"",1],[Okapi,"",1],[Siege_of_Shkodra,m,1],[The_Broadmoor,"",1],[York_Museums_Trust,m,1]]
featherstone	[1,1,[List_of_Virginia_state_parks,"",1]]
fetus	[2,2,[Beliefs_and_practices_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints,"",1],[Prince_(musician),"",1]]
fills	[6,6,[Erg_(landform),"",1],[Graph_algorithms,"",1],[Lake_Eyre,m,1],[Sailboat,"",1],[Sea_cucumber,m,1],[The_Lion_King_1%C2%BD,m,1]]
filtration	[3,3,[Joseph_Stalin,"",1],["Manhattan,_New_York","",1],[Safe_room,m,1]]
finds	[61,103,[13_(musical),"",2],[AC_adapter,"",1],[A_Room_with_a_View,m,1],[Animal_Farm_(1954_film),"",2],[Arendt,"",2],[Bikini,"",2],[Brown_v._Plata,"",3],[Eadweard_Muybridge,"",1],[El_Nina,"",1],[Enakku_20_Unakku_18,"",2],[Eva_Moskowitz,"",2],[Fossil-fuel_power_station,m,1],[Freethought,"",1],["Gabrielle_(Xena:_Warrior_Princess)","",1],[Gods_and_Monsters_(film),"",1],[Graph_algorithms,"",14],[Ham_on_Rye,m,3],[Hatch_Act_of_1939,"",1],[Herakles,m,1],[Insurrection,m,1],[Joseph_Stalin,"",3],[Judicial_review_in_English_law,m,2],[Jungle_Book,"",1],[Jupiter_(mythology),"",3],[Justin_Bieber,"",2],[Kasam_Tere_Pyaar_Ki,"",8],[Knowing_(film),m,1],[Koala,"",1],[Kull_of_Atlantis,"",1],[Laminated_glass,"",2],[Leonie_(film),"",1],[Ludovico_Ludovisi,m,1],[Macedonia_naming_dispute,"",1],[Magdalenian,"",1],[Mechagodzilla,"",1],[Meteor_Rain,m,1],[Molnupiravir,"",1],[Morgan_le_Fay,m,1],[Nationalism,"",2],[Natural_News,"",1],[Odoacer,m,1],[Oscar_Pistorius,m,1],[Palsa,m,1],[Peak_District,"",1],[Philanthropy,"",1],[Rachel%27s_Tomb,"",1],[Scottish_independence,m,2],["Silent_Hill:_Orphan","",2],[South_Park,"",1],[Surface_caching,"",1],[Swahili_people,m,2],[TN_status,"",1],[The_Hatter,"",1],[The_Sandman_(Vertigo),"",1],[The_Shack,"",1],[The_Third_Policeman?source=post_page---------------------------,"",1],[Valley_of_Eagles,m,1],[Vedic_period,"",1],[Vienna_University_of_Technology,"",1],[Wikipedia?Wikipedia,"",2],[Yamakasi_(film),"",1]]
firebrand	[1,1,[Scottish_independence,m,1]]
firebreak	[1,5,[Great_Fire_of_London,"",5]]
fisc	[1,1,[Ottonian_dynasty,m,1]]
flattering	[2,2,[Masque,"",1],[Saturday_Night_(2010_film)?wprov=sfti1,"",1]]
florenz	[2,2,[Georg_Simmel,"",1],[Georgism,"",1]]
florescence	[1,1,[Andean_civilizations,"",1]]
fork	[12,34,[Colne,"",1],[Foot_whipping,"",1],[Forklift,"",20],[GForge,"",1],[Kickstand,"",2],[Koala,"",1],[Safe_room,m,1],[Spamming,"",1],[The_Hatter,"",1],[Trishula,"",1],[Util-linux,"",2],[Wikipedia?Wikipedia,"",2]]
forlani	[2,3,[Italian_Minister_of_Public_Works,m,1],[Rapeseed,"",2]]
foundling	[1,3,[Philanthropy,"",3]]
français	[388,444,["111","",1],["1331","",1],[1700_Cascadia_earthquake,"",1],[2004_Major_League_Baseball_All-Star_Game,"",1],[2010_CAF_Confederation_Cup,"",1],[2017_NFL_season,"",1],[3d_Space_Operations_Squadron,"",1],["48:13","",1],["795","",1],[A.E._Housman,"",1],[ARM_Cortex-A72,"",1],[A_Word_A_Day,"",1],[Adam_McKay,"",1],[Africa,"",1],[Ahmed_el-Tayeb,"",1],[All_In_(professional_wrestling_event),"",1],[Alternative_civilian_service,"",1],[American_College_of_Pediatricians,"",1],[American_propaganda_during_World_War_II,"",1],[Analytical_profile_index,"",1],[Andean_civilizations,"",1],[Angela_Merici,"",1],[Animal_Farm_(1954_film),"",1],[Apache_Cassandra,"",1],["Aradia,_or_the_Gospel_of_the_Witches","",1],[Archduchy_of_Austria,"",1],[Arrondissement,"",1],[Arros%C3%A8s,m,34],[Asterales,"",1],[Aut%C3%B3dromo_Internacional_de_Curitiba,"",1],[Autism-spectrum_quotient,"",1],[Awa_Odori,"",1],[Azolla_filiculoides,"",1],[BaileyBorweinPlouffe_formula,"",1],[Baldur%27s_Gate_III,"",1],[Basin_and_Range_Province,"",1],[Battle_of_the_Beams,"",1],[Bight_of_Bonny,"",1],[Bikini,"",1],[Booker_T._Washington,"",1],[Borat,"",1],[Bornholm_disease,"",1],[Boscawen-Un,"",1],[Bouclier_de_Brennus,"",16],[BrainGate,"",1],[CIELAB,"",1],[COC_Nederland,"",1],[Calvados_(spirit),"",1],[Canary_wharf_dlr_station,"",1],[Canon_PowerShot,"",1],[Capillary_action,"",1],[Carbonated_water,"",1],[Carice_van_Houten,"",1],[Carnival_Cruise_Line,"",1],[Carolina_parakeet,"",1],[Cascadia_subduction_zone,"",1],[Categories,"",1],["Category:1957_deaths","",1],["Category:Computer_science_organizations","",1],[Category_5_cable,"",1],[Cedrela,"",1],[Centered_octagonal_number,"",1],[Cereal_grain,"",1],[Chaos_Computer_Club,"",1],[Chatmonchy,"",1],[Chemical_reactions,m,1],["Chesterfield,_Virginia","",1],[Classism,"",1],[Claude-Adrien_Helvtius,"",1],[Clayne_Crawford,"",1],[Clifden,"",1],[Clojure,"",1],[Cloze_deletion,"",1],[Cloze_deletions,"",1],[Coerce,"",1],[Colm%C3%A1n_of_Lindisfarne,"",1],[Colne,"",1],[Common_Era,m,1],[Comoro_Islands,"",1],[Complex_(magazine),"",1],[Computer_(job_description),"",1],[Condorcet,"",1],[Converse_(shoe_company),"",1],[Craig_Robinson_(actor),"",1],[Criminal_code,"",1],[Cuneiform,"",1],[Cybersyn,"",1],[Cytolysis,"",1],[DVB-T2,"",1],[Dan_Kaminsky,"",1],[David_Poisson_(alpine_skier),m,1],[Derroll_Adams,"",1],["Diana,_Princess_of_Wales_Memorial_Fountain","",1],[Dicksonia_antarctica,"",1],[Diffie-Hellman,"",1],[Djerba%E2%80%93Zarzis_International_Airport,"",1],[Dominion_%28card_game%29,"",1],[Donald_Ewen_Cameron,"",1],[Drop_bear,"",1],[Dumas_Malone,"",1],[Eadweard_Muybridge,"",1],[Economist,"",1],[Edmund_Randolph,"",1],[Eggerland_series,"",1],[Ei%C3%B0ur_Gu%C3%B0johnsen,"",1],[Eket_people,"",1],[El_Nina,"",1],[Electronics_manufacturing_services,"",1],[Elia_Abu_Madi,"",1],[Enthalpy_of_fusion,"",1],[Entropy,"",1],[Erg_(landform),"",1],[Erotic_capital,"",1],[Eugene_Fama,"",1],[Exclave,m,2],[Extraction_of_petroleum,"",1],[FFV1,"",1],[Faggot_(slang),"",1],[Fate/Grand_Order,"",1],[Filter_bubble,"",1],[Flag_of_Azerbaijan,"",1],[Football_Manager_2011,"",1],[Foreign_Agents_Registration_Act,"",1],[Foreign_Broadcast_Information_Service,"",1],["Forest_Park_(St._Louis,_Missouri)","",1],[Forklift,"",1],[Fraternities_and_sororities,"",1],[Fraternity,"",1],[Free-electron_laser,"",1],[Freethought,"",1],[Futura_2000,"",1],[GForge,"",1],[GLS_Bank,"",1],[GNOME_Keyring,"",1],["Gabrielle_(Xena:_Warrior_Princess)","",1],[Garni,"",1],[Garrigou-Lagrange,"",2],[Georg_Simmel,"",1],[George_Bush_Presidential_Library,"",1],[Georgism,"",1],[Girl_(Beatles_song),"",1],[Global_climate_change,"",1],[Gods_and_Monsters_(film),"",1],["Graham,_Texas","",1],[GraphQL,"",1],[Graph_algorithms,"",1],[Great_Fire_of_London,"",1],[Greco-Roman_world,"",1],[Greg_Bennett_Guitars,"",1],[Gringo,"",1],[Hackerspace,"",1],[Hafiz_%28Qur%27an%29,"",1],[Haleakala_National_Park,"",1],["Hand,_foot_and_mouth_disease","",1],[Hatch_Act_of_1939,"",1],[Help!_(album),"",1],[Henri_Bourassa,"",5],[Hermann_Ebbinghaus,"",1],["Hernando,_Mississippi","",1],[Hernando_Pizarro,"",1],[Heron_Quays_DLR_station,"",1],[Hertzog_Prize,"",1],[Hikikomori,"",1],[Houmt_El_Souk,"",1],[Hudson's_Bay_Company,"",1],[Hurrem_Sultan,"",1],[Ibeno,"",1],[Icarus,"",1],[Ilya_Prigogine,"",1],[Inexpressible_Island,"",1],[Information_society,"",1],["International_District,_Seattle,_Washington","",1],[International_Women's_Day,"",1],[J%C3%B3n_Gunnar_%C3%81rnason,"",1],[Jabber,"",1],[Jack_Ketchum,"",1],[Jan_van_Bijlert,"",1],[Java_Authentication_and_Authorization_Service,"",1],[John_Anthony_Walker,"",1],[John_Russell_(equestrian),"",1],[Joystiq,"",1],[Jungle_Book,"",1],[Jupiter_(mythology),"",1],[Justin_Bieber,"",1],[KLM,"",1],[Kabir_Bedi,"",1],[Karl_Blossfeldt,"",1],[Karol_Lipi%C5%84ski,"",1],[Keith_Devlin,"",1],[Kenja_Communication,"",1],[Kermit_Ruffins,"",1],[Kevin_Hearne,"",1],[Kickstand,"",1],[Kindred_Spirits_(sculpture),"",1],[Koala,"",1],[Korosten,"",1],[Koshi_guruma,"",1],[Kraft_paper,"",1],[Kull_of_Atlantis,"",1],[LD50,"",1],[La_Guajira_Department,"",1],[Labrador_Peninsula,"",1],[Laminated_glass,"",1],["Lego_Harry_Potter:_Years_14","",1],[Leonhart_Fuchs,"",1],[Lexical_similarity,"",1],[Leymah_Gbowee,"",1],["Lindenwood,_Illinois","",1],[List_of_Virginia_state_parks,"",1],[List_of_airlines_of_China,"",1],[List_of_world_heavyweight_boxing_champions,"",1],[Liverpool_John_Lennon_Airport,"",1],[Lockean_proviso,"",1],[Loricifera,"",1],[Louis_Daguerre,"",1],[Lucy_in_the_Sky_with_Diamonds,"",1],[Ludwig_von_Mises,"",1],[Macedonia_naming_dispute,"",1],[Magdalenian,"",1],[Mahan_Air,"",1],[Mardi_Gras_Indians,"",1],[Marie_von_Ebner-Eschenbach,"",1],["Maryland,_My_Maryland","",1],[Masque,"",1],[Matti_Nyk%C3%A4nen,"",1],[Mechagodzilla,"",1],[Meklit_Hadero,"",1],[Memorial_Hall_(Philadelphia),"",1],[Metropolitan_Cathedral_of_Athens,"",1],[Microsoft_Research,"",1],[Mike_Eruzione,"",1],[Miri_Yu,"",1],[Molnupiravir,"",1],[Money,"",1],[Monpa_people,"",1],[Montani_Semper_Liberi,"",1],[Moritz_N%C3%A4hr,"",1],["Mount_Barker,_South_Australia","",1],[Multiocular_O,"",1],[Music_Player_Daemon,"",1],[Myrtus_communis,"",1],[Na'vi_language,"",1],[Nanshin-ron,"",1],[Natalia_Goncharova,"",1],[Nationalism,"",2],[Natural_experiment,"",1],[Nerdcore_hip_hop,"",1],[NetBeans,"",1],[Nick_Holonyak,"",1],[Novus_ordo_seclorum,"",1],[Nuremburg_Trials,"",1],[Oakland_International_Airport,"",1],[Odia_script,"",1],[Okapi,"",1],[Old_English_Martyrology,"",1],[Old_New_Synagogue,"",1],[Old_Z%C3%BCrich_War,"",1],[Olivetan,"",1],["One_Sings,_the_Other_Doesn%27t","",1],[Optimism_bias,"",1],[Ottmar_Mergenthaler,"",1],[Panhard_rod,"",1],[Parsley_Massacre,"",1],[Partus_sequitur_ventrem,"",1],[Pazardzhik,"",1],[Peak_District,"",1],[Phantom_of_Heilbronn,"",1],[Philanthropy,"",1],[Philip_Bezanson,"",1],[Photometry_%28astronomy%29,"",1],[Physiologically-based_pharmacokinetic_modelling,"",1],[Pieter_Corneliszoon_Hooft,"",1],[Port_(computing),"",1],["Port_Hacking,_New_South_Wales","",1],[Prabhu_Deva,"",1],[Presentation,"",1],[Primates,"",1],[Primorial,"",1],[Prince_(musician),"",1],[Proto-Germanic,"",1],[Prunus_glandulosa,"",1],[Psychoneuroimmunology,"",1],[Publius_Petronius_Turpilianus,"",1],[Pushtimarg,"",1],[Pyrrhichios,"",1],[QuickBASIC,"",1],[R._Stevie_Moore,"",1],[RERO_(identifier),"",1],[RFactor,"",1],[Rachel%27s_Tomb,"",1],[Radiative_forcing,"",1],[Railway_signal,"",1],[Rapeseed,"",1],[Red_Sticks,"",1],[Reelz,"",1],[Reform_War,"",1],[Retrograde_motion,"",1],[Ricola,"",1],[Ringo_Sheena,"",1],["Roslin,_Midlothian","",1],[Rouzan_al-Najjar,"",1],[Royal_Pirates,"",1],[SS_Torrey_Canyon,"",1],[Sailboat,"",1],[Sailing_(sport),"",1],[Saint_George,m,2],[Sauerkraut,"",1],[Scrum_(development),"",1],[Section_%28fiber_bundle%29,"",1],[Sedum_morganianum,"",1],[Seeks,"",1],[Selangor,"",1],[Selma_James,"",1],[Sequential_logic,"",1],[Seven_Summits,"",1],[Shaoshan,"",1],[Ship_of_Fools_(painting),"",1],[Sierra_Leone_National_Premier_League,"",1],[Silmido_(film),"",1],[Silvaner,"",1],[Site_of_Special_Scientific_Interest,"",1],[Skunk_works,"",1],[Sly_Stone,"",1],[Smart_Technologies,"",1],[Smithsonian_Astrophysical_Observatory,"",1],[Smuggling_of_silkworm_eggs_into_the_Byzantine_Empire,"",1],[Social_economy,"",1],[Sol_Invictus,"",1],[Sophie_de_Condorcet,"",1],[South_Park,"",1],["South_Shore,_Chicago","",1],[Spamming,"",1],[Sphere_Within_Sphere,"",1],[Sprague-Thomson,"",1],[Stadium_Australia,"",1],[Stafford_Beer,"",1],[Steal_This_Film,"",1],[Stradivarius,"",1],[Supply-side_economics,"",1],[Syndrome_Without_A_Name,"",1],[Systems_biology,"",1],[Systems_neuroscience,"",1],[Taito_Corporation,"",1],[Tamago_kake_gohan,"",1],["Template:Pop_music","",1],["Template:UN_document","",1],[Terrorism_Act_2000,"",1],["Texas_Chainsaw_Massacre:_The_Next_Generation","",1],[The_Broadmoor,"",1],[The_Hatter,"",1],[The_Mickey_Mouse_Club,"",1],[The_Sandman_(Vertigo),"",1],[The_Shack,"",1],[Toothbrush_moustache,"",1],[Track_Records,"",1],[Trishula,"",1],[Tritone,"",1],[Trusted_Computing_Group,"",1],[Tuenti,"",1],[Tuli_Kupferberg,"",1],[Tuvok,"",1],[Ultralight_aviation,"",1],[Unit_684,"",1],[Universit%C3%A9_de_Montr%C3%A9al,m,1],[Urine_therapy,"",1],[Uromastyx,"",1],[Util-linux,"",1],["Vasco_da_Gama,_Goa","",1],[Vedic_period,"",1],[Velociraptor!,"",1],[Victims_of_Communism_Memorial,"",1],[Victor_Babe%C8%99,"",1],[Victoria_(plant),"",1],[Video_disk,"",1],[Vienna_University_of_Technology,"",1],[Visa_pour_l%27Image,"",1],[W%C3%B3lka_Magierowa,"",1],[Walter_Gieseking,"",1],[Warlord_(DC_Comics),"",1],[Wayne_Rooney,"",1],[Web_Hosting,"",1],[Wet-bulb_globe_temperature,"",1],[Wheat_germ,"",1],[Wikipedia?Wikipedia,"",1],["Wolfgang,_Prince_of_Anhalt-K%C3%B6then","",1],[X_display_manager_(program_type),"",1],[Yamakasi_(film),"",1],[Yehoshua_Leib_Diskin,"",1]]
freeter	[2,6,[Hikikomori,"",3],[Refusal_of_work,"",3]]
frescobaldi	[1,2,[Ernest_Mead,"",2]]
fuentealba	[1,1,[Stafford_Beer,"",1]]
fujiao	[1,1,[Fuchai_of_Wu,m,1]]
futsal	[1,5,[Yongin_FS,m,5]]
gaeta	[1,1,[Eadweard_Muybridge,"",1]]
gangan	[2,3,[Taito_Corporation,"",1],[Yuhki_Kamatani,m,2]]
gantry	[3,8,[List_of_tallest_buildings_and_structures_in_the_world,m,1],[Railway_signal,"",6],[Stothert_&_Pitt,"",1]]
gardens	[38,86,[American_propaganda_during_World_War_II,"",13],[Augustus_Pugin,m,1],[Bikini,"",1],[Busan,m,1],[Canary_wharf_dlr_station,"",1],["Diana,_Princess_of_Wales_Memorial_Fountain","",2],[Dicksonia_antarctica,"",2],[Docklands_Light_Railway_rolling_stock,"",2],[Eadweard_Muybridge,"",2],[East_Asian_M%C4%81dhyamaka,"",1],["Forest_Park_(St._Louis,_Missouri)","",1],["Hernando,_Mississippi","",3],[Heron_Quays_DLR_station,"",1],[Leonhart_Fuchs,"",2],[List_of_streets_and_roads_in_Hong_Kong,"",1],[Ludovico_Ludovisi,m,3],["Manhattan,_New_York","",1],[Metropolitan_Cathedral_of_Athens,"",2],[Model_railroading,m,1],[Net_metering_in_Nevada,"",3],[Odessa,m,6],[Okapi,"",1],[Peak_District,"",2],[Philadelphia_Police_Department,"",1],[Rachel%27s_Tomb,"",2],[Ricola,"",7],["Rudolf_II,_Holy_Roman_Emperor",m,1],[San_Gorgonio_Pass,"",1],["Sebasti%C3%A3o_Jos%C3%A9_de_Carvalho_e_Melo,_1st_Marquis_of_Pombal",m,1],[Shunt_(theatre_company),"",1],[Smithsonian_Astrophysical_Observatory,"",2],["South_Shore,_Chicago","",1],[Stadium_Australia,"",3],[The_Mickey_Mouse_Club,"",1],[Theydon_Bois,"",2],[Victims_of_Communism_Memorial,"",1],[Victoria_(plant),"",1],[York_Museums_Trust,m,8]]
garment's	[1,1,[Bikini,"",1]]
garmisch	[1,2,[Matti_Nyk%C3%A4nen,"",2]]
gavagan	[2,4,[75th_United_States_Congress,m,2],[76th_United_States_Congress,m,2]]
gazebo	[1,1,[The_Broadmoor,"",1]]
gazetted	[1,1,[Senior_Superintendent_of_Police,m,1]]
gemination	[2,6,["Hand,_foot_and_mouth_disease","",1],[Proto-Germanic,"",5]]
genetics	[17,42,[Africa,"",1],[Beliefs_and_practices_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints,"",2],[Chiropractic_education,"",2],[Classism,"",1],[Cultural_evolution,"",1],[Encoding_%28memory%29,"",2],[Koala,"",5],[LD50,"",1],[Magdalenian,"",2],[Paediatrics,m,1],[Primates,"",4],[Psychoneuroimmunology,"",1],[Rapeseed,"",5],[Sauerkraut,"",1],[Silvaner,"",1],[Systems_biology,"",10],[Systems_neuroscience,"",2]]
genossenschaft	[1,1,[GLS_Bank,"",1]]
geraldika	[1,1,[Flag_of_Azerbaijan,"",1]]
gerast	[1,1,[Ei%C3%B0ur_Gu%C3%B0johnsen,"",1]]
gerunds	[1,3,[Past_participle,m,3]]
globoesporte	[1,1,[Brawn_GP,m,1]]
gnathostomulida	[1,2,[Loricifera,"",2]]
gokulotsavji	[1,1,[Prabhu_Deva,"",1]]
gorilla	[4,18,["Diana,_Princess_of_Wales_Memorial_Fountain","",1],[Jack_Ketchum,"",1],[Primates,"",15],[The_Mickey_Mouse_Club,"",1]]
gouraud	[2,3,[Graph_algorithms,"",1],[Surface_caching,"",2]]
governmental	[34,46,[Alternative_civilian_service,"",1],[American_propaganda_during_World_War_II,"",2],[Augustus_Pugin,m,1],[Champalimaud_Foundation,"",1],[Chaos_Computer_Club,"",1],["Chattanooga,_Tennessee",m,1],[Chiropractic_education,"",1],[Claude-Adrien_Helvtius,"",1],[Cybersyn,"",1],[DVB-T2,"",1],[Districts_of_England,m,1],[Environmental_issues,m,3],[Foreign_Agents_Registration_Act,"",1],[Forklift,"",2],[Fraternity,"",2],[Global_climate_change,"",1],[Insurrection,m,1],[Irredentism,m,4],[Judicial_review_in_English_law,m,1],[List_of_world_heavyweight_boxing_champions,"",1],[Macedonia_naming_dispute,"",2],["Manhattan,_New_York","",1],[New_York_State_Banking_Department,"",1],[Nuremburg_Trials,"",1],[Philanthropy,"",1],[Pirate_Party_of_Serbia,"",1],[Political_subdivisions_of_New_York_State,m,3],[Rouzan_al-Najjar,"",1],[Royal_prerogative_in_the_United_Kingdom,m,2],[Social_economy,"",1],[Steal_This_Film,"",1],[Terrorism_Act_2000,"",1],["Texas_Chainsaw_Massacre:_The_Next_Generation","",1],[Wet-bulb_globe_temperature,"",1]]
